latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.28088,-66.01298,300,0.57,0.69,2026-08-30,0739,N20,nominal,2.0NRT,285.93,1.53,N
34.48978,-95.31507,306.18,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,291.52,1.86,N
34.4893,-95.30951,316.69,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,292.62,1.86,N
48.25329,-79.02373,326.33,0.42,0.38,2026-08-30,0739,N20,nominal,2.0NRT,284.39,6.02,N
34.48836,-95.29893,307.53,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,291.71,2.99,N
46.36932,-72.38768,295.78,0.55,0.51,2026-08-30,0739,N20,nominal,2.0NRT,284.21,0.82,N
34.49251,-95.31075,340.28,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,293.79,9.32,N
45.83833,-73.25147,308.12,0.52,0.5,2026-08-30,0739,N20,nominal,2.0NRT,286.15,2.36,N
34.49305,-95.31642,304.19,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,291.15,1.1,N
45.78279,-73.9137,301.91,0.49,0.48,2026-08-30,0739,N20,nominal,2.0NRT,285.23,0.48,N
34.49099,-95.29471,311.93,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,290.89,2.19,N
45.33973,-73.52435,298.49,0.52,0.5,2026-08-30,0739,N20,nominal,2.0NRT,286.81,0.95,N
45.11359,-73.00903,302.18,0.56,0.51,2026-08-30,0739,N20,nominal,2.0NRT,286.27,0.93,N
34.48853,-95.31711,305.64,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,290.41,1.1,N
34.487,-95.30089,309.17,0.5,0.49,2026-08-30,0744,N20,nominal,2.0NRT,291,2.19,N
45.30411,-74.99216,298.87,0.45,0.47,2026-08-30,0739,N20,nominal,2.0NRT,285.24,0.74,N
33.8331,-89.86279,304.54,0.42,0.37,2026-08-30,0744,N20,nominal,2.0NRT,291.83,0.81,N
